ISO,Rank2021,FR_Country,Country,ES_country,Score A,Sco Exa,Score 2020,Progression RANK,Rank 2020,Score 2020,Zone,AR_country,FA_country
NLD,6,Pays-Bas,Netherlands,Pa?ses Bajos,"8,74","13,86","9,67",-1,5,"9,96",UE Balkans,??????,????
NOR,1,Norv?ge,Norway,Noruega,"6,72",0,"6,72",0,1,"7,84",UE Balkans,???????,????
NPL,106,N?pal,Nepal,Nepal,"34,62","20,79","34,62",6,112,"35,1",Asie-Pacifique,?????,????
NZL,8,Nouvelle-Z?lande,New Zealand,Nueva Zelanda,"10,04",0,"10,04",1,9,"10,69",Asie-Pacifique,??????????,????? ??
OMN,133,Oman,Oman,Om?n,"43,37",0,"43,37",2,135,"43,42",MENA,????,????
PAK,145,Pakistan,Pakistan,Pakist?n,"44,16","59,64","46,86",0,145,"45,52",Asie-Pacifique,???????,???????
PAN,77,Panama,Panama,Panam?,"29,94",0,"29,94",-1,76,"29,78",Am?riques,????,??????
PER,91,Perou,Peru,Peru,"31,71","13,86","31,71",-1,90,"30,94",Am?riques,????,???
PHL,138,Philippines,Philippines,Filipinas,"42,89","58,97","45,64",-2,136,"43,54",Asie-Pacifique,???????,??????
PNG,47,Papouasie-Nouvelle-Guin?e,Papua New Guinea,Pap©«a Nueva Guinea,"24,88",0,"24,88",-1,46,"23,93",Asie-Pacifique,????? ????? ???????,????? ???? ??
POL,64,Pologne,Poland,Polonia,"28,02","33,32","28,84",-2,62,"28,65",UE Balkans,??????,??????
PRK,179,Cor?e du Nord,Democratic People's Republic of Korea,Corea del Norte,"81,28","51,93","81,28",1,180,"85,82",Asie-Pacifique,????? ????????,??? ?????
PRT,9,Portugal,Portugal,Portugal,"10,11",0,"10,11",1,10,"11,83",UE Balkans,????????,??????
PRY,100,Paraguay,Paraguay,Paraguay,"30,99",45,"33,52",0,100,"32,97",Am?riques,????????,????????
PSE,132,Palestine,Palestine,Palestina,"43,18","29,44","43,18",5,137,"44,09",MENA,??????,??????
QAT,128,Qatar,Qatar,Catar,"42,6",0,"42,6",1,129,"42,51",MENA,???,???
ROU,48,Roumanie,Romania,Rumania,"24,91",0,"24,91",0,48,"25,91",UE Balkans,???????,??????
RUS,150,Russie,Russian Federation,Rusia,48,"52,98","48,71",-1,149,"48,92",EEAC,?????,?????
RWA,156,Rwanda,Rwanda,Ruanda,"50,66","30,45","50,66",-1,155,"50,34",Afrique,??????,?????
SAU,170,Arabie saoudite,Saudi Arabia,Arabia Saudita,"61,15","71,07","62,73",0,170,"62,14",MENA,??????? ??????? ????????,??????? ?????
SDN,159,Soudan,Sudan,Sud?n,"52,93","30,45","52,93",0,159,"55,33",Afrique,???????,?????
SEN,49,S?n?gal,Senegal,Senegal,"24,62","28,33","25,22",-2,47,"23,99",Afrique,???????,?????
SGP,160,Singapour,Singapore,Singapur,"55,2",0,"55,2",-2,158,"55,23",Asie-Pacifique,????????,???????
SLE,75,Sierra Leone,Sierra Leone,Sierra Leona,"29,61","17,92","29,61",10,85,"30,28",Afrique,????????,?????????
SLV,82,El Salvador,El Salvador,El Salvador,"30,49",0,"30,49",-8,74,"29,7",Am?riques,?????????,???????????
SOM,161,Somalie,Somalia,Somalia,"55,47","45,43","55,47",2,163,"55,45",Afrique,???????,??????
SRB,93,Serbie,Serbia,Serbia,"32,03","31,78","32,03",0,93,"31,62",UE Balkans,?????,???????
SSD,139,Soudan du Sud,South Sudan,Sud?n del Sur,"45,78","30,45","45,78",-1,138,"44,49",Afrique,??????? ???? ???????,????? ?????
SUR,19,Surinam,Suriname,Surinam,"16,95",0,"16,95",1,20,"17,5",Am?riques,???????,???????
SVK,35,Slovaquie,Slovakia,Eslovaquia,"23,02",0,"23,02",-2,33,"22,67",UE Balkans,????????,???????
SVN,36,Slov?nie,Slovenia,Eslovenia,"23,1","6,93","23,1",-4,32,"22,64",UE Balkans,????????,???????
SWE,3,Suede,Sweden,Suecia,"7,24",0,"7,24",1,4,"9,25",UE Balkans,??????,????
SWZ,141,Swaziland,Swaziland,Suazilandia,"46,34","24,85","46,34",0,141,"45,15",Afrique,?????????,????????
SYC,52,Seychelles,Seychelles,Seychelles,"25,66",0,"25,66",11,63,"28,66",Afrique,?????,?????
SYR,173,Syrie,Syrian Arab Republic,Siria,"68,11","82,59","70,63",1,174,"72,57",MENA,?????,?????
TCD,123,Tchad,Chad,Chad,"40,2","37,84","40,2",0,123,"39,7",Afrique,????,???
TGO,74,Togo,Togo,Togo,"29,59",0,"29,59",-3,71,"29,33",Afrique,????,????
THA,137,Tha?lande,Thailand,Tailandia,"44,15","52,98","45,22",3,140,"44,94",Asie-Pacifique,???????,??????
TJK,162,Tadjikistan,Tajikistan,Tayikist?n,"55,52","47,36","55,52",-1,161,"55,34",EEAC,?????????,?????????
TKM,178,Turkm?nistan,Turkmenistan,Turkmenist?n,"80,03",0,"80,03",1,179,"85,44",EEAC,??????????,?????????
TLS,71,Timor-Leste,East Timor,Timor Oriental,"29,11",0,"29,11",7,78,"29,9",Asie-Pacifique,????? ???????,????? ????
TON,46,Tonga,Tonga,Tonga,"24,59",0,"24,59",4,50,"27,27",Asie-Pacifique,?????,?????
TTO,31,Trinit?-et-Tobago,Trinidad and Tobago,Trinidad y Tobago,"21,55",0,"21,55",5,36,"23,22",Am?riques,???????? ???????,????? ? ??????
TUN,73,Tunisie,Tunisia,T©«nez,"29,53",0,"29,53",-1,72,"29,45",MENA,????,????
TUR,153,Turquie,Turkey,Turqu?a,"46,14","66,12","49,79",1,154,"50,02",EEAC,?????,?????
TWN,43,Ta?wan,Taiwan,Taiw?n,"23,86",0,"23,86",0,43,"23,76",Asie-Pacifique,??????,??????
TZA,124,Tanzanie,Tanzania,Tanzania,"40,69",0,"40,69",0,124,"40,25",Afrique,???????,????????
UGA,125,Ouganda,Uganda,Uganda,"41,19","39,32","41,19",0,125,"40,95",Afrique,??????,???????
UKR,97,Ukraine,Ukraine,Ucrania,"28,37","51,93","32,96",-1,96,"32,52",EEAC,????????,???????
URY,18,Uruguay,Uruguay,Uruguay,"16,38",0,"16,38",1,19,"15,79",Am?riques,????????,???????
USA,44,Etats Unis,United States,Estados Unidos,"20,03","39,7","23,93",1,45,"23,85",Am?riques,???????? ???????,?????? ????? ??????
UZB,157,Ouzb?kistan,Uzbekistan,Uzbekist?n,"50,74","13,86","50,74",-1,156,"53,07",EEAC,?????????,?????????
VEN,148,Venezuela,Venezuela,Venezuela,"46,16","54,29","47,6",-1,147,"45,66",Am?riques,???????,???????
VNM,175,Vi?t Nam,Vietnam,Vietnam,"75,18","68,04","78,46",0,175,"74,71",Asie-Pacifique,??????,??????
WSM,21,Samoa,Samoa,Samoa,"19,24",0,"19,24",0,21,"18,25",Asie-Pacifique,?????,?????
XCD,45,OECS,OECS,OECS,"23,97",0,"23,98",-1,44,"23,78",Am?riques,????????,????? ??????? ????
XKO,78,Kosovo,Kosovo,Kosovo,"30,32","19,46","30,32",-8,70,"29,33",UE Balkans,??????,??????
YEM,169,Y?men,Yemen,Yemen,"62,35","53,33","62,35",-2,167,"58,25",MENA,?????,???
ZAF,32,Afrique du Sud,South Africa,Sud?frica,"15,61","45,64","21,59",-1,31,"22,41",Afrique,???? ???????,??????? ?????
ZMB,115,Zambie,Zambia,Zambia,"38,21",0,"38,21",5,120,37,Afrique,??????,??????
ZWE,130,Zimbabwe,Zimbabwe,Zimbabue,"43,12","34,66","43,12",-4,126,"40,95",Afrique,????????,????????
